Response ID,Include/Exclude,Date submitted,Last page,Start language,Date started,Date last action,What is your primary specialty-,What is your primary specialty- [Other],What is your rank-,What year did you execute orders for your current billet-  (Consider retour orders the same as a PCS set of orders.),What year did you execute orders for your current billet-  (Consider retour orders the same as a PCS set of orders.) [Other],How would you describe your current billet-,How would you describe your current billet- [Other],"For your last set of orders, how many months prior to your move were your orders released-  That is, how many months did you have to prepare for your PCS-","For your last set of orders, how many months prior to your move were your orders released-  That is, how many months did you have to prepare for your PCS- [Other]","On a scale of 1 to 5, with 1 being not transparent and 5 being very transparent, how would you rate the transparency of your detailing experience for your last set of orders-","On a scale of 1 to 5, with 1 being unsatisfied and 5 being very satisfied, how would you rate your overall detailing experience for your last set of orders-","On a scale of 1 to 5, with 1 representing a significant problem and 5 being not a problem at all, how would you rank the problem of favoritism in the billet assignment process-",Describe your current assignment:,"Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 1]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 2]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 3]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 4]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 5]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 6]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 7]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 8]","Please rank your desired billet locations with the top level being the most desireable, and the bottom being the least desireable. [Ranking 9]",Which career path do you want to pursue in the next 5-10  years-,Which career path do you want to pursue in the next 5-10  years- [Other],"Neither the Army nor the Air Force have physicians in the detailer role.  Instead, they have nurses or medical administrators work with specialty leaders to determine assigments.  This is different from the current Navy Medical Corps billet assignment process where the detailer is a physician*.  Would you approve if the detailer position was filled by a non-physician-",How long should an individual be allowed to remain at one command-,"Do you think that there is a problem in the Medical Corps with members not moving-  That is, are there too many physicians who get to stay in one place too long-","Civilian medical residency positions are assigned using the National Residency Match Program where members submit a preference list, residency directors submit a preference list, and a computer algorithm optimizes a match.  This is different from the current Navy Medical Corps billet assignment process where the detailer and specialty leader take input from medical officers and then make a decision.  Of these two options, which would you prefer for your military billet assignment-","The later the match day, the more information one has before creating their rank list.  The earlier the match day, the sooner one can have certainty and prepare.  Assuming your were scheduled to execute new orders in July of 2017, what month would you want the match to occur in-",Do you think members who are coming from operational or OCONUS assignments should be given preference in billet assignment-,Do you think members with more seniority (as defined by time in service or rank) should be given preference in billet assignment-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
599,I,8/27/16 11:48,4,en,8/27/16 11:38,8/27/16 11:48,Family Medicine,,CDR,2015,,GME,,2-4 months,,5,5,3,1st choice,"Southeast (North Carolina, Florida)","Pacific (Hawaii, Guam, Japan)",Europe,Pacific Northwest,Middle East or Africa,National Capital Region,Southern California,"Tidewater Region (Portsmouth, Norfolk)",Northeast,Global Health Engagement,,Yes,4 tours (~12 years),No,Something similar to the National Residency Match Program,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
600,I,8/27/16 12:25,4,en,8/27/16 12:14,8/27/16 12:25,Infectious Disease (IM),,LCDR,2016,,Non-Operational/Non-Clinical,Research,2-4 months,,3,3,3,2nd choice,National Capital Region,Southern California,"Tidewater Region (Portsmouth, Norfolk)",Pacific Northwest,"Southeast (North Carolina, Florida)",Europe,Northeast,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Undecided,,No,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Nov-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
601,I,8/27/16 13:11,4,en,8/27/16 12:15,8/27/16 13:11,Cardiology (IM),,CDR,2015,,CONUS MTF,,< 1 month,,5,5,5,1st choice,"Pacific (Hawaii, Guam, Japan)",National Capital Region,Southern California,Europe,Northeast,"Southeast (North Carolina, Florida)",Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,Executive Medicine,,Yes,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
602,I,8/27/16 13:21,4,en,8/27/16 13:14,8/27/16 13:21,Orthopedic Surgery,,LCDR,2015,,CONUS MTF,,< 1 month,,2,1,4,1st choice,Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)","Tidewater Region (Portsmouth, Norfolk)",National Capital Region,"Southeast (North Carolina, Florida)",Europe,Northeast,Middle East or Africa,Academic Medicine,,Yes,4 tours (~12 years),No,Something similar to the National Residency Match Program,Dec-16,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
604,I,8/27/16 15:48,4,en,8/27/16 15:44,8/27/16 15:48,Pediatrics,,LT,2016,,CONUS MTF,,2-4 months,,5,5,,1st choice,Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Europe,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Northeast,Middle East or Africa,Academic Medicine,,Do not care,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
605,I,8/27/16 18:13,4,en,8/27/16 17:46,8/27/16 18:13,Cardiology (IM),,LCDR,2015,,CONUS MTF,,< 1 month,,,,3,Other,National Capital Region,Southern California,Pacific Northwest,,,,,,,Mixed,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Oct-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
606,I,8/27/16 18:12,4,en,8/27/16 18:03,8/27/16 18:12,Endocrinology (IM),,LCDR,2014,,CONUS MTF,,> 4 months,,4,4,4,1st choice,National Capital Region,Europe,"Pacific (Hawaii, Guam, Japan)",Northeast,"Tidewater Region (Portsmouth, Norfolk)",Pacific Northwest,Southern California,"Southeast (North Carolina, Florida)",Middle East or Africa,Mixed,,Yes,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
607,I,,1,en,8/27/16 18:13,8/27/16 18:13,Psychiatry,,LT,2014,,CONUS MTF,,< 1 month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
608,I,8/27/16 19:45,4,en,8/27/16 18:41,8/27/16 19:45,Emergency Medicine,,LCDR,2015,,CONUS MTF,,2-4 months,,3,3,3,3rd choice,Southern California,"Southeast (North Carolina, Florida)",Pacific Northwest,Europe,Northeast,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Resign/Retire,,Do not care,2 tours (~6 years),Other,Something similar to the National Residency Match Program,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
609,I,8/27/16 19:42,4,en,8/27/16 19:10,8/27/16 19:42,Family Medicine,,LCDR,2015,,GME,,> 4 months,,5,4,3,1st choice,Europe,"Southeast (North Carolina, Florida)",National Capital Region,"Pacific (Hawaii, Guam, Japan)","Tidewater Region (Portsmouth, Norfolk)",Northeast,Pacific Northwest,Middle East or Africa,Southern California,Operational Medicine,,Yes,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
610,I,8/28/16 4:14,4,en,8/28/16 4:04,8/28/16 4:14,Family Medicine,,LCDR,2015,,OCONUS Operational,,< 1 month,,1,1,2,Other,Southern California,Pacific Northwest,Europe,Northeast,Middle East or Africa,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)","Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)",Operational Medicine,,Other,2 tours (~6 years),No,Something similar to the National Residency Match Program,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
611,I,,1,en,8/28/16 8:58,8/28/16 8:59,Infectious Disease (IM),,CAPT or Flag,2015,,OCONUS Operational,,2-4 months,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,I,8/28/16 11:35,4,en,8/28/16 11:31,8/28/16 11:35,Family Medicine,,LT,2015,,CONUS MTF,,2-4 months,,,,,1st choice,Europe,Southern California,"Southeast (North Carolina, Florida)","Pacific (Hawaii, Guam, Japan)",Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Northeast,Middle East or Africa,National Capital Region,Mixed,,Do not care,3 tours (~9 years),No,Something similar to the National Residency Match Program,Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
613,I,8/28/16 14:56,4,en,8/28/16 14:48,8/28/16 14:56,Dermatology,,LCDR,2014,,GME,,2-4 months,,5,5,5,1st choice,Southern California,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Northeast,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Europe,Middle East or Africa,Mixed,,No,1 tour (~3 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
614,I,8/28/16 19:43,4,en,8/28/16 19:37,8/28/16 19:43,Psychiatry,,LCDR,2015,,OCONUS MTF,,2-4 months,,3,3,,Other,Europe,Pacific Northwest,Southern California,National Capital Region,"Pacific (Hawaii, Guam, Japan)",Northeast,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Middle East or Africa,Undecided,,Yes,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
615,I,8/28/16 21:20,4,en,8/28/16 21:14,8/28/16 21:20,Family Medicine,,LCDR,2015,,CONUS MTF,,2-4 months,,5,5,,1st choice,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",National Capital Region,"Pacific (Hawaii, Guam, Japan)",Europe,Middle East or Africa,Pacific Northwest,Northeast,Southern California,Operational Medicine,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
616,I,8/28/16 21:23,4,en,8/28/16 21:19,8/28/16 21:23,Neonatology,,LCDR,2016,,CONUS MTF,,2-4 months,,5,4,5,1st choice,Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Europe,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Northeast,National Capital Region,Middle East or Africa,Clinical Medicine,,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Aug-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
617,I,8/28/16 22:24,4,en,8/28/16 22:19,8/28/16 22:24,Cardiology (IM),,CDR,2016,,CONUS MTF,,> 4 months,,4,4,4,1st choice,National Capital Region,Northeast,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Pacific Northwest,Southern California,"Pacific (Hawaii, Guam, Japan)",Europe,Middle East or Africa,Academic Medicine,,Do not care,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jun-16,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
618,I,8/28/16 22:35,4,en,8/28/16 22:31,8/28/16 22:35,Family Medicine,,LCDR,2015,,GME,,2-4 months,,5,5,,1st choice,"Pacific (Hawaii, Guam, Japan)",Europe,Middle East or Africa,National Capital Region,Southern California,Pacific Northwest,Northeast,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Executive Medicine,,Do not care,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Feb-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
619,I,,2,en,8/28/16 23:44,8/28/16 23:51,Family Medicine,,LT,2014,,GME,,> 4 months,,3,4,4,4th choice,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Northeast,Pacific Northwest,Southern California,"Pacific (Hawaii, Guam, Japan)",National Capital Region,Europe,Middle East or Africa,Clinical Medicine,,Do not care,2 tours (~6 years),No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
620,I,8/29/16 6:06,4,en,8/29/16 6:00,8/29/16 6:06,Family Medicine,,CAPT or Flag,2015,,OCONUS Operational,,2-4 months,,2,2,5,2nd choice,Pacific Northwest,Southern California,Northeast,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Europe,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Executive Medicine,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
621,I,8/29/16 6:46,4,en,8/29/16 6:43,8/29/16 6:46,Emergency Medicine,,CDR,2013,,CONUS MTF,,> 4 months,,5,5,5,1st choice,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",National Capital Region,Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Northeast,Middle East or Africa,Europe,Academic Medicine,,Yes,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Feb-17,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
622,I,8/29/16 6:54,4,en,8/29/16 6:50,8/29/16 6:54,Family Medicine,,LT,2014,,GME,,2-4 months,,4,3,3,1st choice,National Capital Region,"Southeast (North Carolina, Florida)",Northeast,"Tidewater Region (Portsmouth, Norfolk)",Pacific Northwest,Europe,Southern California,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Clinical Medicine,,No,2 tours (~6 years),No,Something similar to the National Residency Match Program,Jan-17,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
623,I,8/29/16 7:29,4,en,8/29/16 7:26,8/29/16 7:29,Family Medicine,,LT,2015,,CONUS MTF,,2-4 months,,3,3,3,1st choice,Europe,"Pacific (Hawaii, Guam, Japan)",Southern California,Northeast,"Southeast (North Carolina, Florida)",Pacific Northwest,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,Clinical Medicine,,No,4 tours (~12 years),No,Something similar to the National Residency Match Program,Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1277,I,9/13/16 11:21,4,en,9/13/16 11:14,9/13/16 11:21,General Medical Officer,,LT,2016,,CONUS Operational,,Other,6 weeks,2,1,2,4th choice,Southern California,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,Europe,National Capital Region,Middle East or Africa,Northeast,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Clinical Medicine,,Yes,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
625,I,8/29/16 7:54,4,en,8/29/16 7:43,8/29/16 7:54,Family Medicine,,LCDR,2015,,CONUS MTF,,2-4 months,,4,4,4,1st choice,Europe,"Southeast (North Carolina, Florida)",Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Northeast,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Middle East or Africa,Mixed,,No,3 tours (~9 years),No,Other,Dec-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
626,I,8/29/16 8:23,4,en,8/29/16 8:18,8/29/16 8:23,Family Medicine,,LT,2014,,CONUS MTF,,2-4 months,,3,,,Other,"Pacific (Hawaii, Guam, Japan)",Europe,Pacific Northwest,Northeast,Southern California,Middle East or Africa,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Operational Medicine,,Yes,2 tours (~6 years),No,Something similar to the National Residency Match Program,Dec-16,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
627,I,8/29/16 8:50,4,en,8/29/16 8:45,8/29/16 8:50,Family Medicine,,LCDR,2015,,CONUS MTF,,2-4 months,,1,1,1,> 4th choice,Southern California,Europe,Pacific Northwest,National Capital Region,"Southeast (North Carolina, Florida)","Pacific (Hawaii, Guam, Japan)",Northeast,"Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,Other,THESE CHOICES DO NOT EXIST. YOU ARE EITHER A CLINICIAN OR GO LEADERSHIP.,Do not care,4 tours (~12 years),Other,Something similar to the National Residency Match Program,Dec-16,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
628,I,8/29/16 8:56,4,en,8/29/16 8:49,8/29/16 8:56,Psychiatry,,LT,2013,,GME,,2-4 months,,5,5,4,1st choice,Pacific Northwest,"Southeast (North Carolina, Florida)",Europe,Northeast,"Tidewater Region (Portsmouth, Norfolk)",Southern California,National Capital Region,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Clinical Medicine,,Do not care,3 tours (~9 years),No,Something similar to the National Residency Match Program,Feb-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,I,8/29/16 9:10,4,en,8/29/16 9:01,8/29/16 9:10,Family Medicine,,LT,2014,,GME,,> 4 months,,5,5,5,1st choice,"Southeast (North Carolina, Florida)",,,,,,,,,Mixed,,Other,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
630,I,8/29/16 9:15,4,en,8/29/16 9:01,8/29/16 9:15,Family Medicine,,LT,2016,,GME,,2-4 months,,4,5,,1st choice,"Southeast (North Carolina, Florida)",National Capital Region,Southern California,,,,,,,Operational Medicine,,No,2 tours (~6 years),Yes,Status Quo: Detailer and Specialty Leader decide,Nov-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
631,I,8/29/16 9:27,4,en,8/29/16 9:16,8/29/16 9:27,Gastroenterology (IM),,CAPT or Flag,2013,,CONUS MTF,,> 4 months,,5,5,4,1st choice,National Capital Region,Southern California,"Tidewater Region (Portsmouth, Norfolk)",Europe,"Southeast (North Carolina, Florida)",Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Northeast,Middle East or Africa,Resign/Retire,,No,2 tours (~6 years),No,Something similar to the National Residency Match Program,Jan-17,,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,I,8/29/16 9:23,4,en,8/29/16 9:18,8/29/16 9:23,Internal Medicine (General),,CDR,2016,,CONUS MTF,,2-4 months,,3,4,4,1st choice,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",National Capital Region,Northeast,Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Europe,Middle East or Africa,Clinical Medicine,,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
633,I,8/29/16 9:38,4,en,8/29/16 9:30,8/29/16 9:38,Pulmonary Critical Care (IM),,CDR,2014,,CONUS Operational,,2-4 months,,4,5,4,1st choice,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Southern California,Europe,"Southeast (North Carolina, Florida)",National Capital Region,Northeast,Middle East or Africa,Operational Medicine,,No,3 tours (~9 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634,I,8/29/16 9:48,4,en,8/29/16 9:43,8/29/16 9:48,Pulmonary Critical Care (IM),,LT,2016,,CONUS MTF,,> 4 months,,2,4,,Other,Pacific Northwest,Southern California,"Southeast (North Carolina, Florida)",National Capital Region,Europe,"Tidewater Region (Portsmouth, Norfolk)",Northeast,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Academic Medicine,,Do not care,2 tours (~6 years),No,Status Quo: Detailer and Specialty Leader decide,Dec-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
635,I,8/29/16 10:05,4,en,8/29/16 9:43,8/29/16 10:05,Pulmonary Critical Care (IM),,LCDR,2016,,OCONUS MTF,,2-4 months,,5,5,4,1st choice,Europe,"Pacific (Hawaii, Guam, Japan)",Southern California,National Capital Region,Pacific Northwest,Northeast,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,Clinical Medicine,,Do not care,Other,Other,Something similar to the National Residency Match Program,Dec-16,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
636,I,8/29/16 10:06,4,en,8/29/16 10:02,8/29/16 10:06,Pulmonary Critical Care (IM),,CAPT or Flag,2016,,CONUS MTF,,< 1 month,,5,,5,1st choice,,,,,,,,,,Clinical Medicine,,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jul-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
637,I,8/29/16 10:23,4,en,8/29/16 10:17,8/29/16 10:23,Family Medicine,,LCDR,2014,,CONUS MTF,,> 4 months,,3,4,5,1st choice,Europe,Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)","Southeast (North Carolina, Florida)",National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Northeast,Middle East or Africa,Academic Medicine,,Do not care,4 tours (~12 years),Other,Something similar to the National Residency Match Program,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
638,I,8/29/16 10:39,4,en,8/29/16 10:27,8/29/16 10:39,Aerospace Medicine (Residency Trained Flight),,LCDR,2014,,GME,,2-4 months,,4,4,3,1st choice,Pacific Northwest,"Southeast (North Carolina, Florida)",Europe,Southern California,"Pacific (Hawaii, Guam, Japan)",Northeast,"Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Middle East or Africa,Operational Medicine,,No,2 tours (~6 years),Other,Other,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
639,I,8/29/16 10:43,4,en,8/29/16 10:36,8/29/16 10:43,Heme/Onc (IM),,LCDR,2012,,CONUS MTF,,2-4 months,,4,4,3,1st choice,National Capital Region,Southern California,Europe,"Pacific (Hawaii, Guam, Japan)",Northeast,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Middle East or Africa,Mixed,,Yes,,No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
640,I,8/29/16 10:48,4,en,8/29/16 10:42,8/29/16 10:48,Occupational Medicine,,LCDR,2016,,CONUS MTF,,2-4 months,,3,4,3,2nd choice,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Europe,Northeast,National Capital Region,Southern California,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",Middle East or Africa,Resign/Retire,,Yes,2 tours (~6 years),Yes,Something similar to the National Residency Match Program,Feb-17,No,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1280,I,9/13/16 11:38,4,en,9/13/16 11:29,9/13/16 11:38,General Medical Officer,,LT,2016,,CONUS Operational,,2-4 months,,2,4,3,2nd choice,Southern California,Pacific Northwest,Europe,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Northeast,"Pacific (Hawaii, Guam, Japan)",Middle East or Africa,Clinical Medicine,,No,3 tours (~9 years),No,Something similar to the National Residency Match Program,Nov-16,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
643,I,8/29/16 10:53,4,en,8/29/16 10:48,8/29/16 10:53,Occupational Medicine,,CDR,2016,,CONUS MTF,,2-4 months,,3,3,,3rd choice,"Southeast (North Carolina, Florida)",National Capital Region,"Tidewater Region (Portsmouth, Norfolk)",Northeast,Pacific Northwest,Southern California,"Pacific (Hawaii, Guam, Japan)",Europe,Middle East or Africa,Resign/Retire,,Yes,2 tours (~6 years),No,Something similar to the National Residency Match Program,Feb-17,Yes,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
644,I,8/29/16 11:00,4,en,8/29/16 10:50,8/29/16 11:00,Internal Medicine (General),,LCDR,2012,,CONUS MTF,,2-4 months,,2,2,3,2nd choice,Southern California,Pacific Northwest,"Pacific (Hawaii, Guam, Japan)",Europe,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Northeast,Middle East or Africa,National Capital Region,Clinical Medicine,,No,4 tours (~12 years),No,Status Quo: Detailer and Specialty Leader decide,Jan-17,Yes,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
645,I,8/29/16 10:56,4,en,8/29/16 10:52,8/29/16 10:56,Occupational Medicine,,LCDR,2016,,CONUS MTF,,> 4 months,,1,2,5,3rd choice,Southern California,"Pacific (Hawaii, Guam, Japan)",Pacific Northwest,"Southeast (North Carolina, Florida)","Tidewater Region (Portsmouth, Norfolk)",National Capital Region,Northeast,Middle East or Africa,Europe,Executive Medicine,,No,1 tour (~3 years),Yes,Something similar to the National Residency Match Program,Jun-16,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
646,I,8/29/16 11:04,4,en,8/29/16 10:53,8/29/16 11:04,Occupational Medicine,,,2016,,CONUS MTF,,2-4 months,,2,1,2,3rd choice,Pacific Northwest,Southern California,"Pacific (Hawaii, Guam, Japan)",Europe,Northeast,National Capital Region,"Tidewater Region (Portsmouth, Norfolk)","Southeast (North Carolina, Florida)",Middle East or Africa,Executive Medicine,,Yes,2 tours (~6 years),No,Something similar to the National Residency Match Program,Jul-16,No,Yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
647,I,8/29/16 12:59,4,en,8/29/16 10:53,8/29/16 12:59,,,LCDR,2016,,Other,,2-4 months,,1,1,1,1st choice,Pacific Northwest,"Tidewater Region (Portsmouth, Norfolk)",Europe,National Capital Region,Southern California,"Pacific (Hawaii, Guam, Japan)",Northeast,Middle East or Africa,"Southeast (North Carolina, Florida)",Mixed,,No,Other,Yes,Other,Jan-17,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
